Script started on 2026-03-16 01:03:04+00:00 [TERM="xterm" TTY="/dev/pts/13" COLUMNS="80" LINES="24"]
cd /home/ubuntu/LineFollower_Success && PYTHONPATH=. python3 src/plant/plant.py --domain=AF_INET --server-url=localhost --noise=0.0 --path=curved; bash
+=+ XLVIP-INFO: XlTlmMessageLayer::connectToServer():
+=+    Connecting clientId=':remoteSession0' to 'server@localhost' ...
+=+    Successfully connected 'client :remoteSession0' to 'server@localhost'
+=+    Negotiated socket connection configuration
+=+        Use socket manager thread=FALSE
+=+        Use TCP_NODELAY=TRUE
+=+        Use UDP=FALSE
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession0
+=+        conduitId=:timeServerConduit0
           localClientConduitHandle=0x57b825b1a3e8
           remoteServerProxyConduitHandle=0x3299c530
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession0
+=+        conduitId=:resetServerConduit0
           localClientConduitHandle=0x57b825aa4628
           remoteServerProxyConduitHandle=0x32998630
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession0
+=+        conduitId=:txConfigPort0
           localClientConduitHandle=0x57b825bce2a0
           remoteServerProxyConduitHandle=0x329abf00
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession0
+=+        conduitId=:rxConfigPort0
           localClientConduitHandle=0x57b825b757f0
           remoteServerProxyConduitHandle=0x329a7b10
+=+ INFO: ... successfully connected to TLM FabricServer !
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession0
+=+        conduitId=:txCanFrameConduit0
           localClientConduitHandle=0x57b825bd14b0
           remoteServerProxyConduitHandle=0x329a0fc0
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession0
+=+        conduitId=:rxCanFrameConduit0
           localClientConduitHandle=0x57b825bd16e0
           remoteServerProxyConduitHandle=0x3299fd20
[PLANT] t=40100ns  x=0.001  y=-0.1756  θ=-0.1547  ω=0.0000
[PLANT] t=1040100ns  x=0.002  y=-0.1758  θ=-0.1517  ω=3.0000
[PLANT] t=2040100ns  x=0.003  y=-0.1759  θ=-0.1513  ω=0.4283
[PLANT] t=3040100ns  x=0.004  y=-0.1761  θ=-0.1508  ω=0.4287
[PLANT] t=4040100ns  x=0.005  y=-0.1762  θ=-0.1504  ω=0.4275
[PLANT] t=5040100ns  x=0.006  y=-0.1764  θ=-0.1500  ω=0.4277
[PLANT] t=6040100ns  x=0.007  y=-0.1765  θ=-0.1495  ω=0.4278
[PLANT] t=7040100ns  x=0.008  y=-0.1767  θ=-0.1491  ω=0.4279
[PLANT] t=8040100ns  x=0.009  y=-0.1768  θ=-0.1487  ω=0.4281
[PLANT] t=9040100ns  x=0.010  y=-0.1770  θ=-0.1483  ω=0.4282
[PLANT] t=10040100ns  x=0.011  y=-0.1771  θ=-0.1478  ω=0.4283
[PLANT] t=11040100ns  x=0.012  y=-0.1773  θ=-0.1474  ω=0.4284
[PLANT] t=12040100ns  x=0.013  y=-0.1774  θ=-0.1470  ω=0.4286
[PLANT] t=13040100ns  x=0.014  y=-0.1776  θ=-0.1466  ω=0.4287
[PLANT] t=14040100ns  x=0.015  y=-0.1777  θ=-0.1461  ω=0.4288
[PLANT] t=15040100ns  x=0.016  y=-0.1778  θ=-0.1457  ω=0.4289
[PLANT] t=16040100ns  x=0.017  y=-0.1780  θ=-0.1453  ω=0.4291
[PLANT] t=17040100ns  x=0.018  y=-0.1781  θ=-0.1448  ω=0.4292
[PLANT] t=18040100ns  x=0.019  y=-0.1783  θ=-0.1444  ω=0.4293
[PLANT] t=19040100ns  x=0.020  y=-0.1784  θ=-0.1440  ω=0.4294
[PLANT] t=20040100ns  x=0.021  y=-0.1786  θ=-0.1435  ω=0.4295
[PLANT] t=21040100ns  x=0.022  y=-0.1787  θ=-0.1431  ω=0.4297
[PLANT] t=22040100ns  x=0.023  y=-0.1789  θ=-0.1427  ω=0.4298
[PLANT] t=23040100ns  x=0.024  y=-0.1790  θ=-0.1423  ω=0.4299
[PLANT] t=24040100ns  x=0.025  y=-0.1791  θ=-0.1418  ω=0.4300
[PLANT] t=25040100ns  x=0.026  y=-0.1793  θ=-0.1414  ω=0.4301
[PLANT] t=26040100ns  x=0.027  y=-0.1794  θ=-0.1410  ω=0.4303
[PLANT] t=27040100ns  x=0.028  y=-0.1796  θ=-0.1405  ω=0.4304
[PLANT] t=28040100ns  x=0.029  y=-0.1797  θ=-0.1401  ω=0.4305
[PLANT] t=29040100ns  x=0.030  y=-0.1798  θ=-0.1397  ω=0.4306
