Script started on 2026-03-15 19:40:28+00:00 [TERM="xterm" TTY="/dev/pts/88" COLUMNS="80" LINES="24"]
cd /home/ubuntu/LineFollower_Success && PYTHONPATH=. python3 src/visualizer/visualizer.py --domain=AF_INET --server-url=localhost --label=Kp2.0_Ki0.1_Kd0.5; bash
+=+ XLVIP-INFO: XlTlmMessageLayer::connectToServer():
+=+    Connecting clientId=':remoteSession2' to 'server@localhost' ...
+=+    Successfully connected 'client :remoteSession2' to 'server@localhost'
+=+    Negotiated socket connection configuration
+=+        Use socket manager thread=FALSE
+=+        Use TCP_NODELAY=TRUE
+=+        Use UDP=FALSE
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession2
+=+        conduitId=:timeServerConduit2
           localClientConduitHandle=0x617604c9b728
           remoteServerProxyConduitHandle=0x21259860
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession2
+=+        conduitId=:resetServerConduit2
           localClientConduitHandle=0x617604bbe7d8
           remoteServerProxyConduitHandle=0x21255e90
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession2
+=+        conduitId=:txConfigPort2
           localClientConduitHandle=0x617604bf7de0
           remoteServerProxyConduitHandle=0x212685b0
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession2
+=+        conduitId=:rxConfigPort2
           localClientConduitHandle=0x617604bd6820
           remoteServerProxyConduitHandle=0x212649b0
+=+ INFO: ... successfully connected to TLM FabricServer !
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession2
+=+        conduitId=:txCanFrameConduit2
           localClientConduitHandle=0x617604a67650
           remoteServerProxyConduitHandle=0x2125e8a0
+=+ XLVIP-INFO: XlTlmMessageLayer::connect():
+=+    Successfully connected this remote client conduit into the TLM fabric server:
+=+        clientId=:remoteSession2
+=+        conduitId=:rxCanFrameConduit2
           localClientConduitHandle=0x617604a0d550
           remoteServerProxyConduitHandle=0x2125d730
[VIZ] t=0.1s  y=0.5048  err=0.5048
[VIZ] t=0.2s  y=0.4996  err=0.4996
[VIZ] t=0.3s  y=0.4849  err=0.4849
[VIZ] t=0.4s  y=0.4615  err=0.4615
[VIZ] t=0.5s  y=0.4303  err=0.4303
[VIZ] t=0.6s  y=0.3924  err=0.3924
[VIZ] t=0.7s  y=0.3490  err=0.3490
[VIZ] t=0.8s  y=0.3011  err=0.3011
[VIZ] t=0.9s  y=0.2498  err=0.2498
[VIZ] t=1.0s  y=0.1961  err=0.1961
[VIZ] t=1.1s  y=0.1411  err=0.1411
[VIZ] t=1.2s  y=0.0856  err=0.0856
[VIZ] t=1.3s  y=0.0307  err=0.0307
[VIZ] t=1.4s  y=-0.0229  err=0.0229
[VIZ] t=1.5s  y=-0.0742  err=0.0742
[VIZ] t=1.6s  y=-0.1224  err=0.1224
[VIZ] t=1.7s  y=-0.1669  err=0.1669
[VIZ] t=1.8s  y=-0.2068  err=0.2068
[VIZ] t=1.9s  y=-0.2414  err=0.2414
[VIZ] t=2.0s  y=-0.2704  err=0.2704
[VIZ] t=2.1s  y=-0.2932  err=0.2932
[VIZ] t=2.2s  y=-0.3097  err=0.3097
[VIZ] t=2.3s  y=-0.3196  err=0.3196
[VIZ] t=2.4s  y=-0.3231  err=0.3231
[VIZ] t=2.5s  y=-0.3203  err=0.3203
[VIZ] t=2.6s  y=-0.3116  err=0.3116
[VIZ] t=2.7s  y=-0.2974  err=0.2974
[VIZ] t=2.8s  y=-0.2783  err=0.2783
[VIZ] t=2.9s  y=-0.2549  err=0.2549
[VIZ] t=3.0s  y=-0.2279  err=0.2279
[VIZ] t=3.1s  y=-0.1979  err=0.1979
[VIZ] t=3.2s  y=-0.1656  err=0.1656
[VIZ] t=3.3s  y=-0.1317  err=0.1317
[VIZ] t=3.4s  y=-0.0970  err=0.0970
[VIZ] t=3.5s  y=-0.0620  err=0.0620
[VIZ] t=3.6s  y=-0.0275  err=0.0275
[VIZ] t=3.7s  y=0.0060  err=0.0060
[VIZ] t=3.8s  y=0.0379  err=0.0379
[VIZ] t=3.9s  y=0.0676  err=0.0676
[VIZ] t=4.0s  y=0.0947  err=0.0947
[VIZ] t=4.1s  y=0.1188  err=0.1188
[VIZ] t=4.2s  y=0.1394  err=0.1394
[VIZ] t=4.3s  y=0.1565  err=0.1565
[VIZ] t=4.4s  y=0.1696  err=0.1696
